"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000162639"	109.77880170852	-2.1496676957222	0.622665750330085	-3.45236219365306	0.000555701248811945	0.0222504486592437
"ENSG00000116299"	20.435899615228	-3.32830932368594	0.956587202435544	-3.47935798765843	0.000502616680284222	0.0208764705465271
"ENSG00000064886"	14.9618050625771	-4.26998233674164	1.0208381118017	-4.18282026050678	2.87915014540671e-05	0.00333677506574052
"ENSG00000121933"	24.534033879893	-3.63095264409702	1.06256548819045	-3.41715657477314	0.000632788748175877	0.0242103664214986
"ENSG00000234998"	6.17956894698708	-5.14679248977636	1.43969967925293	-3.57490701980781	0.000350352383472488	0.0171969436979284
"ENSG00000143365"	85.3511124952297	-3.6324749133087	1.12873144588014	-3.21819235794945	0.00129001272793828	0.0369655982383523
"ENSG00000163220"	133.850955384125	-5.4025965256481	1.00067667149932	-5.39894321464833	6.7034585707426e-08	4.51099513691166e-05
"ENSG00000160716"	52.3129689916452	2.34196317934703	0.690383041623641	3.39226637699444	0.000693170157517847	0.0252665360600073
"ENSG00000253831"	4.90674365721571	-6.03137140988623	1.5386333707124	-3.91995359303409	8.85660212544208e-05	0.00681650442156597
"ENSG00000158481"	9.62860993636188	-4.7585608606523	1.51314844633055	-3.1448076837352	0.0016619604404555	0.0437786638386291
"ENSG00000177807"	35.176082777903	-1.79673791526497	0.572103413902813	-3.14058240451296	0.00168612264957367	0.0440227842212219
"ENSG00000186517"	229.037467862544	-3.60094024267658	0.864677326863281	-4.16449018703822	3.12049046939151e-05	0.00353785606967263
"ENSG00000224228"	9.66070938798736	-3.76461902890802	1.21366735962367	-3.10185406162306	0.00192312741155494	0.0481612976379922
"ENSG00000162779"	23.6750480221259	-2.77223200310127	0.860334837303048	-3.22227100763649	0.00127178779952173	0.0366866728943961
"ENSG00000135835"	246.815194187757	1.56699700779243	0.416783086427416	3.75974231877887	0.00017008845951741	0.0106233992634511
"ENSG00000228918"	8.81659449885422	-3.96290114488692	1.23008692244542	-3.22164318031172	0.00127457760036743	0.0366866728943961
